IDLicitacion;NombreLicitacion;Tipo;Estado;FechaPublicacion;Descripcion;Moneda;TipoPresupuesto;TipoMonto;MontoLicitacion;Organismo
1233619-38-LE26;LICENCIAS DE SOFTWARE PARA EL SERVICIO LOCAL DE EDUCACIÓN PÚBLICA MAULE COSTA;LE;Publicada y disponible para ofertar;20/08/2026 13:29:52;El objetivo de la presente licitación es contratar el ADQUISICIÓN DE LICENCIAS DE SOFTWARE PARAEL SERVICIO LOCAL DE EDUCACIÓN PÚBLICA MAULE COSTA ID 1233619-38-LE26, la contratación de las licencias de software antes indicadas resulta esencial para asegurar la continuidad, eficiencia y adecuado desarrollo de las labores administrativas y operacionales del Servicio Local, permitiendo contar con la ;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;SERVICIO LOCAL DE EDUCACIÓN PÚBLICA MAULE COSTA
4447-14-LE26;Licencias de software;LE;Publicada y disponible para ofertar;17/08/2026 18:13:28;Se requiere la adquisición de Licencias según detalle, necesarias para garantizar la continuidad operativa de los departamentos involucrados en la digitalización y el tratamiento de material digital y audiovisual de la Biblioteca Nacional.;CLP;PUBLICADO;DISPONIBLE;35.823.800;SERVICIO NACIONAL DEL PATRIMONIO CULTURAL
587-32-LE26;SELICO  316-2026  LICENCIA DE SOFTWARE;LE;Publicada y disponible para ofertar;05/08/2026 10:38:19;Contratar la compra de uso de software para la renovación de una 01 licencia Google Maps API, o equivalente, por doce 12 meses o la duración de un millón 1.000.000 de créditos.;USD;PUBLICADO;DISPONIBLE;12.000,00;SUBSECRETARIA DEL MINISTERIO DE LA VIVIENDA Y URBANISMO
2755-31-LE26;ADQUISICIÓN SUSCRIPCIÓN DE SOFTWARE DE DISEÑO.;LE;Publicada y disponible para ofertar;14/08/2026 16:35:52;Ilustre Municipalidad de San Antonio, requiere contratacion de licencias software, para el diseño de planos, diseño gráfico, para las Direcciónes de SECPLA y DOM.;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;I MUNICIPALIDAD DE SAN ANTONIO
752-29-LP26;Adquisición de Licencias y Suscripciones;LP;Publicada y disponible para ofertar;24/08/2026 09:39:00;La presente contratación tiene por objeto la adquisición de licencias de software y suscripciones para el Gobierno Regional de Los Lagos, destinadas a satisfacer las necesidades de funcionamiento y continuidad de las herramientas y plataformas tecnológicas utilizadas por la institución, conforme a las características, cantidades, condiciones de licenciamiento y demás requisitos establecidos en las presentes Bases;CLP;PUBLICADO;DISPONIBLE;271.586.000;GOBIERNO REGIONAL DECIMA REGION LOS LAGOS
1111089-15-LP26;RENOVACION Y ADQUISICION  LICENCIAS SOFTWARE ANID;LP;Publicada y disponible para ofertar;17/08/2026 15:42:20;La Agencia Nacional de Investigación y Desarrollo, ANID, requiere contar con el licenciamiento de software utilizado por Anid, para la continuidad operativa.;CLP;NO PUBLICADO;DISPONIBLE;Igual o superior a 1.000 UTM e inferior a 2.000 UTM;Comisión Nacional de Investigación Científica y Tecnológicas - CONICYT
3970-7-LE26;Servicio de actualización de Software forense;LE;Publicada y disponible para ofertar;14/08/2026 10:22:56;ACTUALIZACIÓN Y SOPORTE TÉCNICO PARA 03 LICENCIAS DE SOFTWARE FORENSIC TOOLKIT FTK SERIES: 3681010, 3681011 y 2326181 12 MESES YO EQUIVALENTE;CLP;NO PUBLICADO;DISPONIBLE;Entre 100 y 1000 UTM;DIRECCION DE LOGISTICA DE CARABINEROS
730566-20-LE26;Adquisición licencias Microsoft Defender -Exchange;LE;Publicada y disponible para ofertar;21/08/2026 15:01:34;El objeto de la esta adquisición es renovar licencias Microsoft Defender for Office 365 P1 y Exchange Online P1 con el fin de dotar de capacidades de seguridad antispam a plataforma de correos electrónicos y avanzar hacia un sistema de correo electrónico totalmente cloud.;USD;NO PUBLICADO;ESTIMADO;Entre 100 y 1000 UTM;SUBSECRETARIA DE EVALUACION SOCIAL
1233623-38-LE26;ADQUISICIÓN DE SOFTWARE AEC COLLECTION 2025;LE;Publicada y disponible para ofertar;24/08/2026 18:43:02;El Servicio Local de Educación Pública Licancabur convoca a licitación pública para la adquisición de nueve licencias de software AEC Collection 2025, equivalente o superior, destinadas a la Subdirección de Infraestructura y Mantenimiento, Unidad de Diseño y Planificación.;CLP;PUBLICADO;DISPONIBLE;19.800.000;Servicio Local de Educación Pública Licancabur
2699-35-LE26;ADQUISICIÓN  SOFTWARE CAMARAS CORPORALES TIPO AXON;LE;Publicada y disponible para ofertar;19/08/2026 10:37:00;Adquisición De Licencias Software Profesional De Gestión De Evidencia Digital Y Adquisición Upgrade A Software Profesional De Gestión De Evidencia Digital Respond Plus Compatibles Con  Cámaras Corporales Axon Body 4 34 licencias Software Profesional de Gestión de Evidencia Digital Basic compatibles para cámaras Axon Body 4 incluye 1 licencia Profesional. 34 Upgrade a Respond Plus compatibles.;CLP;PUBLICADO;DISPONIBLE;56.037.632;I MUNICIPALIDAD DE LA REINA
